99Liu_Si [wt%] LIQUID+AL13FE4+ALFESI_ALPHA,99Liu_Fe [wt%] LIQUID+AL13FE4+ALFESI_ALPHA,99Liu_Si [wt%] LIQUID+ALFESI_ALPHA+FCC_A1,99Liu_Fe [wt%] LIQUID+ALFESI_ALPHA+FCC_A1,99Liu_Si [wt%] LIQUID+FCC_A1+ALFESI_BETA,99Liu_Fe [wt%] LIQUID+FCC_A1+ALFESI_BETA,99Liu_Si [wt%] LIQUID+ALFESI_BETA+DIAMOND_A4,99Liu_Fe [wt%] LIQUID+ALFESI_BETA+DIAMOND_A4,99Liu_Si [wt%] LIQUID+ALFESI_BETA+ALFESI_ALPHA,99Liu_Fe [wt%] LIQUID+ALFESI_BETA+ALFESI_ALPHA,99Liu_Si [wt%] LIQUID+FCC_A1+DIAMOND_A4,99Liu_Fe [wt%] LIQUID+FCC_A1+DIAMOND_A4,99Liu_Si [wt%]LIQUID+AL13FE4+FCC_A1,99Liu_Fe [wt%] LIQUID+AL13FE4+FCC_A1,NucleoScheil_Si [wt%],NucleoScheil_Fe [wt%],Scheil1_Si [wt%],Scheil1_Fe [wt%]
,,,,,,,,,,,,,,6.859317368,2.033939266,6.981303244,2.273456391
,,,,,,,,,,,,,,6.858200134,2.030262936,6.981034197,2.270241083
,,,,,,,,,,,,,,6.857084508,2.026591666,6.980765372,2.267029129
,,,,,,,,,,,,,,6.855970438,2.022925456,6.98049677,2.263820529
,,,,,,,,,,,,,,6.854857448,2.019264342,6.98022839,2.260615279
,,,,,,,,,,,,,,6.853746061,2.015608276,6.979960232,2.25741338
,,,,,,,,,,,,,,6.852636227,2.01195726,6.97969228,2.254214695
,,,,,,,,,,,,,,6.85152747,2.008311328,6.979424561,2.251019491
,,,,,,,,,,,,,,6.850420313,2.004670433,6.979157064,2.247827631
,,,,,,,,,,,,,,6.849314705,2.001034576,6.978889787,2.244639084
,,,,,,,,,,,,,,6.848210203,1.997403789,6.978622737,2.241453937
,,,,,,,,,,,,,,6.847107256,1.993778031,6.978355907,2.238272101
,,,,,,,,,,,,,,6.846005641,1.990157316,6.978089296,2.235093573
,,,,,,,,,,,,,,6.844905375,1.98654164,6.977822909,2.231918411
,,,,,,,,,,,,,,6.843806669,1.982930981,6.977556745,2.228746582
,,,,,,,,,,,,,,6.842709284,1.979325354,6.977290802,2.225578086
,,,,,,,,,,,,,,6.841613455,1.975724737,6.9770251,2.222413071
,,,,,,,,,,,,,,6.840518944,1.972129144,6.976759589,2.219251085
,,,,,,,,,,,,,,6.839425784,1.96853857,6.976494315,2.216092604
,,,,,,,,,,,,,,6.83833417,1.964952995,6.976229261,2.212937421
,,,,,,,,,,,,,,6.837243632,1.961372452,6.975964428,2.209785562
,,,,,,,,,,,,,,6.836154654,1.957796899,6.975699818,2.206637025
,,,,,,,,,,,,,,6.835067234,1.954226331,6.975435429,2.203491809
,,,,,,,,,,,,,,6.833980895,1.950660784,6.97517126,2.200349886
,,,,,,,,,,,,,,6.832896097,1.947100216,6.974907317,2.197211331
,,,,,,,,,,,,,,6.831812648,1.943544639,6.974643594,2.194076066
,,,,,,,,,,,,,,6.830730506,1.939994051,6.974380092,2.190944115
,,,,,,,,,,,,,,6.829649934,1.936448429,6.97411681,2.187815451
,,,,,,,,,,,,,,6.828570675,1.932907789,6.973853751,2.184690122
,,,,,,,,,,,,,,6.827492711,1.929372127,6.973590917,2.181568126
,,,,,,,,,,,,,,6.826416065,1.925841439,6.973328302,2.178449412
,,,,,,,,,,,,,,6.82534101,1.922315699,6.973065909,2.175334004
,,,,,,,,,,,,,,6.824267246,1.918794926,6.972803752,2.17222201
,,,,,,,,,,,,,,6.823194772,1.915279116,6.972541807,2.169113206
,,,,,,,,,,,,,,6.822123834,1.911768247,6.972280083,2.166007701
,,,,,,,,,,,,,,6.821054208,1.908262331,6.972018518,2.162904743
,,,,,,,,,,,,,,6.819985885,1.904761366,6.971757238,2.159805838
,,,,,,,,,,,,,,6.818919128,1.901265327,6.971496179,2.156710228
,,,,,,,,,,,,,,6.817853672,1.897774231,6.971235342,2.15361791
,,,,,,,,,,,,,,6.816789762,1.894288054,6.970974726,2.150528884
,,,,,,,,,,,,,,6.815727117,1.890806815,6.970714376,2.147443744
,,,,,,,,,,,,,,6.814665794,1.887330505,6.9704542,2.144361312
,,,,,,,,,,,,,,6.813606005,1.883859103,6.970194243,2.141282144
,,,,,,,,,,,,,,6.812547536,1.880392623,6.969934505,2.138206239
,,,,,,,,,,,,,,6.811490394,1.876931059,6.969674946,2.135133056
,,,,,,,,,,,,,,6.810434767,1.873474394,6.969415658,2.13206374
,,,,,,,,,,,,,,6.809380437,1.870022639,6.969156592,2.128997702
,,,,,,,,,,,,,,6.808327638,1.866575773,6.968897746,2.125934942
,,,,,,,,,,,,,,6.80727587,1.863133832,6.968639122,2.122875457
,,,,,,,,,,,,,,6.806225423,1.859696787,6.968380719,2.119819246
,,,,,,,,,,,,,,6.805176501,1.856264619,6.968122581,2.116766885
,,,,,,,,,,,,,,6.804128889,1.852837342,6.967864614,2.113717212
,,,,,,,,,,,,,,6.803082816,1.849414933,6.967606826,2.110670236
,,,,,,,,,,,,,,6.802038008,1.845997409,6.967349307,2.107627102
,,,,,,,,,,,,,,6.800994746,1.842584745,6.967092009,2.104587233
,,,,,,,,,,,,,,6.799952763,1.839176957,6.966834932,2.101550627
,,,,,,,,,,,,,,6.798912058,1.835774042,6.966578076,2.098517282
,,,,,,,,,,,,,,6.797872648,1.832375993,6.966321441,2.095487197
,,,,,,,,,,,,,,6.79683477,1.82898279,6.966065027,2.09246037
,,,,,,,,,,,,,,6.79579819,1.825594445,6.965808833,2.089436799
,,,,,,,,,,,,,,6.794762894,1.822210956,6.965552899,2.086417003
,,,,,,,,,,,,,,6.793728886,1.818832318,6.965297099,2.083399417
,,,,,,,,,,,,,,6.792696372,1.815458512,6.965041608,2.080386136
,,,,,,,,,,,,,,6.791665169,1.812089548,6.964786293,2.077375567
,,,,,,,,,,,,,,6.790635244,1.808725423,6.964531196,2.074368229
,,,,,,,,,,,,,,6.789606585,1.805366136,6.964276322,2.071364153
,,,,,,,,,,,,,,6.788579433,1.802011663,6.964021668,2.068363322
,,,,,,,,,,,,,,6.787553793,1.798662,6.963767237,2.065365749
,,,,,,,,,,,,,,6.786529432,1.795317162,6.963513023,2.062371383
,,,,,,,,,,,,,,6.785506367,1.791977141,6.963259033,2.059380289
,,,,,,,,,,,,,,6.784484573,1.788641937,6.963005224,2.056391912
,,,,,,,,,,,,,,6.78346432,1.785311525,6.962751678,2.053407276
,,,,,,,,,,,,,,6.782445317,1.781985923,6.962498353,2.050425874
,,,,,,,,,,,,,,6.781427836,1.778665106,6.962245248,2.047447703
,,,,,,,,,,,,,,6.780411379,1.775349107,6.961992363,2.044472761
,,,,,,,,,,,,,,6.779396451,1.772037885,6.961739699,2.041501047
,,,,,,,,,,,,,,6.778383001,1.76873144,6.961487255,2.03853256
,,,,,,,,,,,,,,6.777370577,1.765429801,6.961235032,2.035567296
,,,,,,,,,,,,,,6.776359655,1.762132929,6.960983062,2.032605713
,,,,,,,,,,,,,,6.77535023,1.75884082,6.960731274,2.02964689
,,,,,,,,,,,,,,6.774342069,1.755553486,6.960479707,2.026691298
,,,,,,,,,,,,,,6.773335166,1.752270926,6.960228358,2.023738897
,,,,,,,,,,,,,,6.77232954,1.748993132,6.959977232,2.020789736
,,,,,,,,,,,,,,6.771325435,1.745720084,6.959726322,2.017843764
,,,,,,,,,,,,,,6.770322605,1.742451795,6.959475636,2.014901029
,,,,,,,,,,,,,,6.769321252,1.739188246,6.959225179,2.01196149
,,,,,,,,,,,,,,6.76832118,1.735929447,6.958974942,2.009025161
,,,,,,,,,,,,,,6.767322332,1.7326754,6.958724926,2.006092038
,,,,,,,,,,,,,,6.76632497,1.729426079,6.958475129,2.00316212
,,,,,,,,,,,,,,6.765328896,1.726181497,6.958225552,2.000235404
,,,,,,,,,,,,,,6.7643341,1.722941648,6.957976194,1.99731189
,,,,,,,,,,,,,,6.763340548,1.719706533,6.957727057,1.994391574
,,,,,,,,,,,,,,6.762348487,1.716476129,6.95747814,1.991474456
,,,,,,,,,,,,,,6.761357691,1.713250447,6.957229442,1.988560534
,,,,,,,,,,,,,,6.760368152,1.710029485,6.956980964,1.985649805
,,,,,,,,,,,,,,6.759379834,1.706813242,6.956732705,1.982742269
,,,,,,,,,,,,,,6.758393003,1.703601693,6.956484666,1.979837922
,,,,,,,,,,,,,,6.757407414,1.700394853,6.956236847,1.976936764
